Specialization,Case Type,Case Number,Lawyer ID,Win/Lose
Business Lawyer,IntellectualProperty,1039,1014,0
Immigration Lawyer,Deportation,1016,1009,1
Immigration Lawyer,Asylum,1036,1009,0
Business Lawyer,BusinessFraud,1031,1014,0
Family Lawyer,ChildCustody,1038,1001,Lawyer4,0
Tax Lawyer,IRSAudit,1046,1016,0
Immigration Lawyer,Deportation,1037,1010,1
Tax Lawyer,TaxFraud,1013,1018,1
Tax Lawyer,TaxEvasion,1018,1017,0
Criminal Lawyer,Burglary,1019,1001,Lawyer2,0
Immigration Lawyer,Deportation,1024,1009,0
Criminal Lawyer,Burglary,1011,1000,1
Criminal Lawyer,Robbery,1012,1000,1
Tax Lawyer,IRSAudit,1001,Lawyer1,1018,1
Family Lawyer,Divorce,1021,1001,Lawyer5,1
Immigration Lawyer,Deportation,1016,1009,1
Immigration Lawyer,Deportation,1001,Lawyer3,1009,0
Tax Lawyer,TaxFraud,1010,1017,0
Business Lawyer,IntellectualProperty,1043,1013,0
Tax Lawyer,IRSAudit,1014,1016,1
Criminal Lawyer,Murder,1009,1001,Lawyer2,1
Tax Lawyer,TaxFraud,1033,1016,1
Business Lawyer,IntellectualProperty,1047,1014,0
Family Lawyer,Adoption,1001,Lawyer5,1001,Lawyer4,1
Family Lawyer,Adoption,1001,Lawyer1,1001,Lawyer5,1
Tax Lawyer,TaxEvasion,1034,1016,0
Business Lawyer,IntellectualProperty,1001,Lawyer2,1013,1
Immigration Lawyer,Asylum,1023,1010,1
Family Lawyer,ChildCustody,1039,1001,Lawyer4,1
Immigration Lawyer,VisaApplication,1022,1010,1
Family Lawyer,Adoption,1029,1001,Lawyer6,1
Criminal Lawyer,Assault,1043,1001,Lawyer2,1
Immigration Lawyer,Deportation,1001,Lawyer7,1001,Lawyer8,0
Business Lawyer,BusinessFraud,1016,1014,1
Business Lawyer,ContractDispute,1047,1012,0
Criminal Lawyer,Assault,1039,1000,1
Family Lawyer,Adoption,1041,1001,Lawyer4,0
Tax Lawyer,TaxFraud,1043,1016,1
Business Lawyer,IntellectualProperty,1016,1013,1
Tax Lawyer,IRSAudit,1001,Lawyer6,1018,1
Business Lawyer,BusinessFraud,1001,Lawyer6,1014,0
Immigration Lawyer,Deportation,1001,Lawyer5,1010,1
Tax Lawyer,IRSAudit,1020,1016,0
Immigration Lawyer,Deportation,1001,Lawyer4,1001,Lawyer8,0
Immigration Lawyer,Deportation,1001,Lawyer3,1009,0
Immigration Lawyer,VisaApplication,1029,1001,Lawyer8,1
Immigration Lawyer,Deportation,1031,1001,Lawyer8,1
Business Lawyer,BusinessFraud,1001,Lawyer6,1014,0
Criminal Lawyer,Robbery,1035,1000,0
Business Lawyer,ContractDispute,1052,1014,1
Criminal Lawyer,Robbery,1001,Lawyer3,1001,Lawyer1,0
Business Lawyer,IntellectualProperty,1024,1012,0
Tax Lawyer,TaxEvasion,1020,1019,1
Tax Lawyer,IRSAudit,1023,1016,0
Tax Lawyer,TaxFraud,1012,1016,1
Immigration Lawyer,Deportation,1040,1010,1
Family Lawyer,ChildCustody,1028,1001,Lawyer6,0
Criminal Lawyer,Drug,1023,1001,Lawyer1,0
Tax Lawyer,IRSAudit,1044,1016,1
Immigration Lawyer,Deportation,1035,1009,0
Business Lawyer,ContractDispute,1048,1014,0
Criminal Lawyer,Assault,1019,1000,1
Criminal Lawyer,Burglary,1017,1001,Lawyer2,1
Criminal Lawyer,Robbery,1010,1001,Lawyer2,1
Immigration Lawyer,Asylum,1042,1009,1
Tax Lawyer,IRSAudit,1015,1018,1
Family Lawyer,ChildCustody,1017,1001,Lawyer5,1
Business Lawyer,IntellectualProperty,1001,Lawyer2,1014,1
Family Lawyer,Adoption,1001,Lawyer2,1001,Lawyer5,1
Business Lawyer,BusinessFraud,1018,1012,0
Tax Lawyer,IRSAudit,1046,1016,0
Business Lawyer,IntellectualProperty,1030,1013,0
Business Lawyer,ContractDispute,1035,1013,1
Family Lawyer,Adoption,1013,1001,Lawyer4,1
Business Lawyer,ContractDispute,1038,1012,0
Tax Lawyer,IRSAudit,1001,Lawyer3,1019,0
Criminal Lawyer,Murder,1025,1001,Lawyer2,1
Business Lawyer,BusinessFraud,1057,1014,1
Criminal Lawyer,Murder,1009,1000,0
Immigration Lawyer,VisaApplication,1052,1010,0
Business Lawyer,IntellectualProperty,1001,Lawyer3,1012,0
Immigration Lawyer,Deportation,1023,1001,Lawyer8,1
Family Lawyer,Adoption,1023,1001,Lawyer6,1
Criminal Lawyer,Robbery,1026,1001,Lawyer2,0
Business Lawyer,IntellectualProperty,1046,1014,1
Tax Lawyer,TaxEvasion,1018,1016,1
Tax Lawyer,TaxEvasion,1010,1019,1
Tax Lawyer,IRSAudit,1027,1017,0
Business Lawyer,ContractDispute,1001,Lawyer6,1012,0
Tax Lawyer,TaxFraud,1012,1018,0
Tax Lawyer,IRSAudit,1030,1016,0
Business Lawyer,BusinessFraud,1034,1014,0
Family Lawyer,Divorce,1024,1001,Lawyer6,1
Tax Lawyer,IRSAudit,1028,1019,1
Business Lawyer,IntellectualProperty,1044,1014,0
Criminal Lawyer,Assault,1014,1001,Lawyer2,1
Business Lawyer,IntellectualProperty,1032,1014,1
Family Lawyer,Divorce,1023,1001,Lawyer4,0
Immigration Lawyer,Deportation,1050,1010,1
Criminal Lawyer,Drug,1040,1001,Lawyer2,0
Criminal Lawyer,Drug,1033,1001,Lawyer2,0
Immigration Lawyer,Deportation,1021,1010,1
Criminal Lawyer,Assault,1001,Lawyer5,1001,Lawyer2,1
